Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
51,51,NYK,Thanasis Antetokounmpo,,4,117,1055,332,231,80,.496,.157,.522,9.0,2.8,2.0,0.7,1.5,.066,-3.6,-0.4
52,52,PHI,Vasilije Micić,,,,,,,,,,,,,,,,,,
53,53,MIN,Alessandro Gentile,,,,,,,,,,,,,,,,,,
54,54,PHI,Nemanja Dangubić,,,,,,,,,,,,,,,,,,
55,55,MIA,Semaj Christon,Xavier,1,64,973,183,87,130,.345,.190,.548,15.2,2.9,1.4,2.0,0.1,.006,-5.1,-0.8
56,56,DEN,Devyn Marble,Iowa,2,44,457,97,69,29,.304,.222,.375,10.4,2.2,1.6,0.7,-0.3,-.028,-5.5,-0.4
57,57,IND,Louis Labeyrie,,,,,,,,,,,,,,,,,,
58,58,SAS,Jordan McRae,Tennessee,4,123,1696,846,225,167,.417,.355,.772,13.8,6.9,1.8,1.4,1.7,.048,-2.1,0.0
59,59,TOR,Xavier Thames,San Diego State,,,,,,,,,,,,,,,,,
60,60,SAS,Cory Jefferson,Baylor,2,58,581,205,161,16,.444,.125,.583,10.0,3.5,2.8,0.3,0.9,.071,-3.3,-0.2
